Age,Income,Education,Employment Status,Happiness Score,Hours of Physical Activity
69,33332.55833,Bachelor,Retired,1.139994655,10
41,38869.91374,PhD,Employed,5.795141045,16
25,88621.38791,High School,Unemployed,2.073046492,3
18,66098.19986,Master,Student,2.028888619,1
48,22007.9824,PhD,Retired,7.167282284,18
46,40292.3461,Master,Student,3.828487003,12
19,66233.61211,Master,Employed,8.053690375,13
18,52650.05473,High School,Unemployed,9.580721208,7
43,37470.07651,Master,Retired,6.87856685,2
63,24575.02527,High School,Retired,9.961783249,9
58,67001.25847,PhD,Unemployed,4.367178963,1
59,65727.96084,PhD,Retired,4.692222409,12
46,18075.11944,PhD,Unemployed,4.893353157,17
45,28442.90908,Bachelor,Student,5.541976153,12
54,52669.05659,High School,Student,7.769168829,1
63,70916.34119,High School,Student,3.344794053,5
65,54369.80279,High School,Unemployed,4.463380247,16
60,48769.90709,PhD,Retired,7.673352397,0
59,59663.63918,Bachelor,Retired,5.987623057,0
54,54921.19921,Bachelor,Student,6.957439084,4
38,62861.49123,PhD,Unemployed,5.018172108,2
68,35945.46079,Bachelor,Retired,7.680715829,17
48,52701.12434,Master,Unemployed,9.895539497,19
59,28649.4412,Bachelor,Employed,2.091123161,1
42,44483.66333,PhD,Employed,8.019595385,16
68,27150.68015,PhD,Unemployed,5.107538476,10
48,40478.42452,High School,Retired,3.45551304,19
46,64811.05762,Master,Employed,9.839508733,7
48,34759.70568,PhD,Retired,2.301570838,18
31,80685.8562,PhD,Unemployed,4.494799725,11
36,53749.97778,Master,Retired,7.02542861,7
46,59767.43795,High School,Employed,2.949323266,9
39,31009.64692,Master,Employed,3.592193883,18
47,70612.334,Master,Employed,4.899904049,13
28,40851.42306,Master,Student,8.970410158,4
48,50461.36918,Master,Employed,3.932202389,0
32,62294.85016,High School,Employed,8.643063453,10
23,71814.70598,Bachelor,Retired,3.008268781,2
30,41244.8533,PhD,Retired,7.132806851,6
29,56230.21178,PhD,Retired,8.943344511,18
29,60005.38666,Master,Retired,1.853431548,16
50,63042.42953,PhD,Retired,7.369509672,1
68,31959.4501,High School,Student,4.322231838,0
39,92926.53764,Master,Employed,6.136203037,18
44,9776.113287,PhD,Employed,7.276945456,15
54,32467.82362,Master,Unemployed,4.434334895,14
25,41237.53666,Bachelor,Retired,4.88498066,14
34,62273.74546,PhD,Student,2.775494893,2
41,73856.55847,High School,Employed,1.825357663,16
46,46125.67651,High School,Student,1.746302596,5
61,56705.43558,High School,Student,1.596622085,5
67,79076.29613,Master,Retired,5.474293649,14
18,44145.20975,Master,Employed,9.24693806,11
49,41289.55494,PhD,Employed,2.145968346,4
48,79234.80456,High School,Student,5.571496274,4
63,22061.72985,Bachelor,Employed,1.632839939,0
36,41474.65136,Bachelor,Unemployed,6.686865452,5
19,64688.36038,PhD,Employed,3.18566136,0
29,63430.45834,High School,Retired,2.240134196,15
64,46456.06327,PhD,Employed,3.162856971,15
45,56616.46899,PhD,Student,4.327117844,5
65,35113.79011,Bachelor,Unemployed,8.031624347,11
41,54432.57479,High School,Employed,8.00277439,11
33,50632.39541,Master,Retired,1.475105821,2
35,61432.08531,Bachelor,Student,7.685223386,1
23,59419.34711,Master,Student,5.810026186,19
47,51606.84866,PhD,Unemployed,2.915285624,19
29,26671.0574,Master,Employed,9.787181719,1
30,6412.187375,High School,Student,9.344267554,0
23,61336.44251,High School,Retired,1.824779147,13
42,30506.56627,Master,Student,8.050883,17
26,37024.66268,Master,Student,1.666350851,6
36,32180.08587,PhD,Retired,4.129383295,3
20,35317.78238,Master,Student,9.731329548,18
31,20554.98128,High School,Retired,5.08170301,9
59,42822.03208,PhD,Unemployed,4.365572041,17
24,66233.54113,High School,Retired,3.852060724,18
28,66546.30636,High School,Retired,9.153101472,15
60,60349.72182,High School,Unemployed,8.241146445,10
53,54820.68141,High School,Student,8.512974869,10
69,40993.02164,Bachelor,Unemployed,6.832633267,14
65,47454.35831,PhD,Unemployed,3.150948692,12
38,29081.47476,Master,Unemployed,3.036847611,1
19,46801.27567,Bachelor,Retired,5.290806572,2
50,69267.4007,Master,Student,4.864918216,6
43,58784.54508,PhD,Student,2.423700749,10
35,41475.9178,High School,Retired,2.762892792,17
58,49342.532,Bachelor,Student,1.260483345,8
26,64288.80117,Bachelor,Employed,6.403633268,14
66,45089.36858,Bachelor,Retired,4.729750553,15
20,43134.52621,Bachelor,Unemployed,9.609209601,12
29,55269.89026,Bachelor,Student,2.903941773,15
27,44608.41151,High School,Employed,4.700998438,19
31,42282.52651,Master,Unemployed,5.117217727,9
37,35133.27999,PhD,Student,9.740882638,18
32,31440.2427,PhD,Retired,1.883611589,14
65,40062.65707,Master,Retired,4.459063151,6
27,61356.53874,High School,Retired,5.997246527,3
24,31102.72816,PhD,Student,6.474014358,16
36,40010.21086,High School,Retired,7.993428775,4
