Age,Income,Education,Employment Status,Happiness Score,Hours of Physical Activity
69,33332.5583260898,Bachelor,Retired,1.1399946551218259,10
41,38869.91373987022,PhD,Employed,5.7951410446865435,16
25,88621.38790607327,High School,Unemployed,2.0730464922055845,3
18,66098.19985769935,Master,Student,2.028888618929105,1
48,22007.982403993563,PhD,Retired,7.167282283518435,18
46,40292.346101620176,Master,Student,3.8284870034414955,12
19,66233.61211069606,Master,Employed,8.053690375108186,13
18,52650.05473340253,High School,Unemployed,9.580721208028995,7
43,37470.076508112244,Master,Retired,6.878566850050573,2
63,24575.025267241792,High School,Retired,9.9617832491356,9
58,67001.25846765874,PhD,Unemployed,4.36717896292317,1
59,65727.96084152858,PhD,Retired,4.6922224089494815,12
46,18075.11944359935,PhD,Unemployed,4.893353156680095,17
45,28442.90908126696,Bachelor,Student,5.541976153371458,12
54,52669.056586257335,High School,Student,7.769168829128651,1
63,70916.34119428959,High School,Student,3.34479405343761,5
65,54369.802787196684,High School,Unemployed,4.463380246969471,16
60,48769.907090410125,PhD,Retired,7.673352397325717,0
59,59663.63918129501,Bachelor,Retired,5.987623056808238,0
54,54921.199213743595,Bachelor,Student,6.957439084400549,4
38,62861.491230587024,PhD,Unemployed,5.018172107706221,2
68,35945.46079228452,Bachelor,Retired,7.68071582888152,17
48,52701.12433784628,Master,Unemployed,9.895539497247817,19
59,28649.44120499459,Bachelor,Employed,2.091123160566185,1
42,44483.66333212928,PhD,Employed,8.0195953853372,16
68,27150.680152073037,PhD,Unemployed,5.107538475684221,10
48,40478.42452239212,High School,Retired,3.4555130403472196,19
46,64811.05762345411,Master,Employed,9.839508732769492,7
48,34759.70567710834,PhD,Retired,2.301570838484996,18
31,80685.85620273493,PhD,Unemployed,4.494799724989527,11
36,53749.97778139087,Master,Retired,7.025428610492258,7
46,59767.43794597443,High School,Employed,2.949323265748278,9
39,31009.646917735987,Master,Employed,3.592193882811355,18
47,70612.33400119815,Master,Employed,4.899904049168818,13
28,40851.423062656286,Master,Student,8.970410158450163,4
48,50461.36917766193,Master,Employed,3.932202388797901,0
32,62294.85015879745,High School,Employed,8.643063452694966,10
23,71814.7059763356,Bachelor,Retired,3.008268780740027,2
30,41244.85330377107,PhD,Retired,7.13280685148513,6
29,56230.21177676359,PhD,Retired,8.943344511051894,18
29,60005.38666485477,Master,Retired,1.853431548103239,16
50,63042.42953186868,PhD,Retired,7.369509672144014,1
68,31959.450101057835,High School,Student,4.3222318383361555,0
39,92926.53764082892,Master,Employed,6.136203036572402,18
44,9776.113286541025,PhD,Employed,7.276945456388914,15
54,32467.82361718624,Master,Unemployed,4.434334895391404,14
25,41237.536661440725,Bachelor,Retired,4.884980659937531,14
34,62273.74546112055,PhD,Student,2.7754948931330987,2
41,73856.55846871909,High School,Employed,1.8253576625244334,16
46,46125.67651306409,High School,Student,1.746302595596333,5
61,56705.43558453155,High School,Student,1.5966220850546586,5
67,79076.29613457836,Master,Retired,5.474293649130869,14
18,44145.20975089102,Master,Employed,9.246938059576117,11
49,41289.554936151886,PhD,Employed,2.1459683463500143,4
48,79234.80456345512,High School,Student,5.571496274155263,4
63,22061.729849598476,Bachelor,Employed,1.6328399394522495,0
36,41474.651362669625,Bachelor,Unemployed,6.686865452367478,5
19,64688.360381028135,PhD,Employed,3.1856613604877237,0
29,63430.458337924414,High School,Retired,2.2401341959213195,15
64,46456.06326793763,PhD,Employed,3.1628569709769523,15
45,56616.468985418585,PhD,Student,4.327117843697822,5
65,35113.79011276944,Bachelor,Unemployed,8.031624346557418,11
41,54432.57479186496,High School,Employed,8.00277439018172,11
33,50632.395407414915,Master,Retired,1.475105821263744,2
35,61432.085314052274,Bachelor,Student,7.685223386181872,1
23,59419.34711175786,Master,Student,5.8100261859394,19
47,51606.848664317724,PhD,Unemployed,2.915285623870116,19
29,26671.057403782506,Master,Employed,9.7871817189476,1
30,6412.187374816291,High School,Student,9.344267553946937,0
23,61336.44250743123,High School,Retired,1.824779147314021,13
42,30506.5662684538,Master,Student,8.050883000073505,17
26,37024.662683068775,Master,Student,1.6663508514381098,6
36,32180.085874063327,PhD,Retired,4.129383295413061,3
20,35317.78238277712,Master,Student,9.731329547736767,18
31,20554.98127885621,High School,Retired,5.081703009897058,9
59,42822.03207845498,PhD,Unemployed,4.36557204114688,17
24,66233.5411291841,High School,Retired,3.852060724101902,18
28,66546.30635767957,High School,Retired,9.15310147241281,15
60,60349.7218220196,High School,Unemployed,8.241146444697556,10
53,54820.681408433586,High School,Student,8.512974868995935,10
69,40993.02164088048,Bachelor,Unemployed,6.832633266820297,14
65,47454.35831250393,PhD,Unemployed,3.1509486918258904,12
38,29081.474759957004,Master,Unemployed,3.036847610514836,1
19,46801.27566853797,Bachelor,Retired,5.290806571900116,2
50,69267.40070081329,Master,Student,4.864918216361547,6
43,58784.545081573044,PhD,Student,2.4237007494552123,10
35,41475.91780223528,High School,Retired,2.7628927917259936,17
58,49342.53200193492,Bachelor,Student,1.2604833445276986,8
